R_01	R_02	R_03	R_04	R_05	R_06	R_07	R_08	R_09	S_01	S_02	S_03	S_04	S_05	S_06	S_07	S_08	S_09
NP_001014146.1	-0.0614754692087466	-0.328218567416672	-0.65295206666838	-0.161877411934743	-0.517843452064739	-0.793342685877039	-0.965716182388351	-0.717819143682633	-0.240968829028215	-0.684756359444708	-0.904132258317399	-0.717229638909031	-0.952992389266195	-0.230488480094258	-0.242711210849445	-0.113573187452374	-0.670244363565329	-0.394642108663891
NP_001014147.1	-0.0273907982416077	-0.0135513549938003	-0.55712267529422	0.368439766789041	-0.562396524537102	-0.888424373502057	-0.353088276401875	-0.679292269842113	-0.362929662516495	0.0498694780948363	-0.924938389529224	-0.508117495901442	-1.16255802147993	-0.337461621430449	-0.359746907141245	-0.476550585836524	-0.759613839821136	-0.573170446555738
NP_001014157.1	-0.231491102925273	-0.00245997417682069	-0.35554469813524	-0.27483245648186	-0.305230315197095	-0.715809052656594	-0.61169228941183	-0.359323085684234	-0.0540555638483676	-0.238678626478868	-0.824508545196342	-0.488783678331967	-0.929182580753718	-0.0568216419701523	-0.225038321032304	-0.301464620941327	-0.609547525229917	-0.419960716200352
NP_001014158.1	-0.160324966386605	-0.189914244693751	-0.453583419891014	-0.211048605738891	-0.439690744683005	-0.754816756373885	-0.572179458105829	-0.399385508899292	-0.033919874994795	-0.517711214093553	-1.36209536050558	-0.687399731548164	-1.26955374170876	-0.452644128269285	-0.306074726477238	-0.335358170946417	-0.789581239564649	-0.452476123027457
NP_001014162.1	0.0844352216153816	-0.144988538496779	-0.620251619944126	-0.500729385763367	-0.304215926674209	-0.956508588600554	-0.708694166911577	-0.106003984363155	-0.0496556649962498	-0.901352261216653	-0.916589966658929	-0.87178222000232	-0.847696180518874	-0.136904698251715	-0.346736571265168	-0.491055245322716	-0.509815235947639	-0.28651615524394
NP_001014164.1	-0.247330046966704	-0.142158529965382	-0.469085158773385	-0.283820780450639	-0.478433357163256	-0.749093018122412	-0.652047284763657	-0.574927500447192	-0.117091656990925	-0.196454983767881	-1.11581248593965	-0.634987266546853	-1.04724265596987	-0.179472022478337	-0.200694025033454	-0.546363009320826	-0.754777010672108	-0.517564630729178
NP_001014170.1	-0.0151782846778588	-0.0115883894473638	-0.344315012114446	-0.185102049195522	-0.436061270727477	-0.797352343012637	-0.558066854869397	-0.514319011755327	-0.134687214550602	-0.0460911930550634	-0.994591110559561	-0.71705736096273	-1.06314958515717	-0.214069483946851	-0.325226977202061	-0.469181200341429	-0.846098054942793	-0.546958770915434
NP_001014173.2	0.185188740243065	-0.0685704517048995	-0.453711918496735	-0.266960471912953	-0.485655156125003	-0.677313432146794	-0.489885798539185	-0.403630608423362	0.013266037797111	-0.119034682629844	-0.791431794712546	-0.547927434469885	-0.97551305080406	-0.12742865661562	-0.299057118223004	-0.194898754691799	-0.907310508182975	-0.408377635097381
NP_001014174.1	0.119049585415492	-0.104143911817892	-0.600507500083849	-0.23125854578854	-0.299897170664223	NA	NA	NA	NA	-0.572338274455542	-1.11894267861726	-0.546262700978138	-0.906495871014727	NA	NA	NA	NA	NA
NP_001014175.1	-0.146220012864033	-0.0799188553379988	-0.350773469447759	-0.387831299767025	-0.626356001578647	-0.69928053171559	-0.644599685179772	-0.492192924757439	-0.264844472701222	-0.103353440747107	-0.877725963594638	-0.555863258285302	-0.807737393963259	-0.104167516131739	-0.359037864896281	-0.420269964861838	-0.524109261430599	-0.555666445273748
NP_001014181.2	-0.628661742596817	-0.171660676230759	-0.411167629274137	-0.835492230161256	-0.483690878438955	-0.682706444009221	-0.521777753986622	-0.292010348588547	-0.00336953679781045	-0.178062928588173	-0.940966893341828	-0.315587698093271	-0.951538159597427	-0.656247376529537	-0.180132116483818	-0.122511509562362	-0.932225974675664	-0.311803698470355
NP_001014183.1	-0.0772462397513494	-0.208529172574051	-0.568284244846023	-0.336052493586434	-0.387587031797471	-0.6488612589423	-0.569863183711278	-0.239584459167241	-0.0361418235756715	-1.09415325802327	-0.88267116684988	-0.612075788399653	-0.737583262042151	0.00157042245514203	-0.107108660647863	-0.0968195141561324	-0.803436366596096	-0.324933724234992
NP_001014185.1	NA	NA	NA	NA	NA	-0.97276887668854	-0.454628315138958	-0.910679301263346	-0.714425460279759	NA	NA	NA	NA	0.401785275775312	0.139394226244046	-1.21813960806511	1.22851649441269	-1.14175901179228
NP_001014188.1	-0.41718720811684	-0.0999685250203109	-0.507597815792459	-0.151156292388718	-0.78405436156197	-1.11385298762913	-0.329122163747342	-0.83704726546887	-0.0192029844373524	0.214907343585186	-0.756628102478647	-0.631249423722484	-1.07614769093418	-0.299061671944342	-0.365881230013996	-0.573138631325607	-0.492971779035949	-0.524194174732935
NP_001014201.1	-0.335599629953116	-0.260216420416498	-0.508534954352694	-0.341908479606853	-0.633413743561457	-0.89012230411065	-0.635563719055997	-0.38205579742671	-0.0371154267427519	-0.409311873036336	-0.928873268778147	-0.67994128474575	-1.16679672385532	-0.422361795289798	-0.216276027698809	0.166390179792384	-0.589430029730688	-0.0418318139678284
NP_001014202.1	-0.417528186446538	-0.261484085662988	-0.47856913349709	-0.37954815763366	-0.535855927014443	-0.725449450033979	-0.667377109758467	-0.466815890662428	-0.105155550470842	-0.525707776135447	-0.953645708472852	-0.591463579131519	-0.894763370691178	-0.217669792460648	-0.177583591528716	-0.126513282777206	-0.635763541054912	-0.331188825850199
NP_001014203.1	-0.1609855277755	-0.145325668575559	-0.303405922298167	-0.210453376275159	-0.501082976069883	-0.614423370450261	-0.37229526874057	-0.108076647769366	0.465743072322782	-0.107170657310236	-0.876867354742132	-0.557121168692818	-0.975639911061457	-0.654369340180482	0.00404837295768152	0.0917868033525294	-1.08256424618919	-0.0161350570031378
NP_001014207.2	-0.306850305924025	-0.213697106486167	-0.579135163139296	-0.222470411215185	-0.523712371330452	-0.804261123468682	-0.403056831088079	-0.470259074588388	-0.163589483329473	-0.118041859623999	-1.15851360270294	-0.683481129856559	-1.3138046391742	-0.330035306161475	-0.50804056938324	-0.273472300206111	-0.927465032465534	-0.613473066335053
NP_001014209.1	-0.326082273198946	-0.130351296082972	-0.506989252873418	-0.343089623018037	-0.637064176303112	-0.810244441518966	-0.628730647879845	-0.524927737541236	-0.12468985836452	-0.283165009325716	-0.959764869993504	-0.688607757288862	-0.94722698172321	-0.1282093950729	-0.386586759871812	-0.47309754578183	-0.652730906290698	-0.475277161634086
NP_001014213.1	-0.154045763159767	-0.158262869899087	-0.600648483430022	-0.112163166492537	-0.283368427145677	-0.862316006602098	-0.89633915238613	-0.591868009389224	-0.29447677540454	-0.846069382628161	-1.00359946598997	-0.474929137796041	-1.00888392691646	-0.304521196495568	-0.283923993880787	-0.610207080666529	-0.790610088232498	-0.736091324794928
NP_001014216.1	-0.21147952291819	-0.24620266134082	-0.668064783798737	-0.195114904660092	-0.528208197879848	-0.842194389670775	-0.666471183362757	-0.524891214708393	-0.280770498223737	-0.603675490192449	-1.18527221184154	-0.592253552080221	-0.931820355203307	-0.203186831465473	-0.378642581147239	-0.33388699925416	-0.637733890746325	-0.675588802641998
NP_001014224.1	-0.0639798780412021	-0.114366168535148	-0.436827831466666	-0.0957509143643309	-0.485817876325839	-0.647768738981424	-0.906978944318082	-0.579284258696692	-0.281071613104176	-0.692468388735822	-1.09111228441269	-0.573972613912448	-0.904011677844384	0.458563419877879	-0.37794348304616	-0.581847877755671	-0.139500006483433	-0.708121449901669
NP_001014228.1	-0.256746133195947	-0.218412446768791	-0.399591184538652	-0.205385284758853	-0.611948524803343	-1.04685440565835	-0.668904597514291	-0.613503193409119	-0.370875935965515	-0.0978800545989976	-0.981133028954176	-0.373547716702951	-1.09714617713143	-0.49038815221813	-0.549177336973373	-0.659152167265165	-0.824268735230266	-0.539703967560257
NP_001014229.1	NA	NA	NA	NA	NA	-1.0000935785328	-2.12359634006045	-1.7408120015004	-1.81956206177605	NA	NA	NA	NA	0.115433792842529	-0.707133140394821	-1.85959255550137	-0.553624826343085	-2.56420062915632
NP_001014240.1	-0.268980174488583	-0.0422994759668884	-0.49529562079583	-0.00484901488523674	-0.330938817642329	-0.823244829600459	-0.453829920182057	-0.578739843525015	0.0349231999770609	-0.240643835422452	-0.814446759961428	-0.60601146698325	-0.968310303007952	0.255621923928114	-0.627538925246208	-0.35655316731765	-0.620532193984643	-0.452849798913168
NP_001014245.2	-0.17463533127571	-0.262099643963067	-0.61200426111636	-0.343718544632801	-0.549662429537738	-1.12212248889811	-0.783807784047345	-0.488822907758178	-0.405522635714496	-0.790138778134758	-1.05974353246138	-0.587024810325213	-1.00775332639437	-0.238553727871711	-0.664133072987829	-0.394909997093176	-0.901464719425467	-0.619020375962588
NP_001014249.1	-0.226105837537849	-0.19380504539838	-0.428174079785608	-0.253126485677495	-0.577466397225031	-0.758296976257893	-0.622295179849504	-0.327610813561442	-0.0802786374305678	0.0159975677176662	-0.825218639568864	-0.564834366436863	-1.12566035314582	-0.303004496189003	-0.375484710486152	-0.470073049930734	-0.740322827597007	-0.448339660629449
NP_001014250.1	-0.676905824743627	0.179208988155544	-0.166776214111046	-0.365838848438023	-0.0347564256150502	-0.86278540688368	-0.23277350902037	0.0269675550446771	0.708008286057341	0.279874529482428	-0.508644288958479	-0.137975662861996	-0.932750363597215	-0.870952084481754	-0.0280416972773278	0.0046536811248468	-1.42197482270505	0.0682300973851396
NP_001014253.1	-0.184926532739876	-0.227462526043636	-0.696539132527486	-0.204248475725831	-0.696488918135981	-0.803067334534372	-0.608735411873793	-0.452388640217563	-0.101410536715269	-0.50606231166019	-1.07638003526924	-0.590831849211813	-1.14571173436614	-0.295686784373894	-0.320856804076933	-0.289089748813819	-0.696257932279232	-0.420026940868614
NP_001014254.1	-0.550414761568926	-0.216951859697632	-0.672330008615716	-0.273617469221418	-0.605240782952775	-0.683472215088945	-0.17995716183507	0.309333753771205	-1.01751334612133	0.0212293415965274	-0.978525265618845	-0.456563793316461	-1.17555817683956	-1.38847100034204	-1.17725499857532	0.288426735807232	-1.32814679575229	-1.23372487316775
NP_001014265.1	-0.0423611512848442	-0.208497568963694	-0.658843411659673	0.111207923457168	-0.735004912627594	-0.770974761689445	-0.633540239027716	-0.498667234014912	-0.120443750980692	-0.0670718867259704	-0.870634865486785	-0.633429397429721	-1.15478883551839	-0.261813567411047	-0.255704783832491	-0.421331499237075	-0.588461026292366	-0.530684190219125
NP_001014267.1	-0.330505228081411	-0.263692698263112	-0.5874460622693	-0.322002637287929	-0.526772294884637	-0.846138612179885	-0.566754591304243	-0.541627378618037	-0.14244750514706	0.144557299645716	-0.875501894483861	-0.708484727431901	-1.07532825092151	-0.171433823787701	-0.323000642854273	-0.427331869034012	-0.708323293079262	-0.458662213667007
NP_001014270.1	-0.00981993287509282	-0.147754413896859	-0.489761772592138	0.00594297544618307	-0.605349073960502	-0.920730350813788	-0.642898665584525	-0.48722253172221	-0.0543094075825011	-0.456176221125292	-0.862834846800386	-0.452141549210936	-0.899299546161974	-0.147270258894822	-0.244708793932491	-0.263840009760163	-0.66821764762615	-0.426549246412726
NP_001014272.1	-0.312513136954904	-0.325217896347775	-0.387829961944608	-0.435895765126699	-0.486253377972554	-0.814351511426856	-0.578151810742226	-0.513192975370393	-0.105035065759109	-0.226008847609627	-1.03679369188932	-0.585663064099831	-1.11002989110205	-0.369339631647144	-0.369224436552138	-0.450547705273494	-0.668158891421111	-0.40249871015396
NP_001014275.2	-0.0550689498920034	-0.262668794539593	-0.505683157835464	-0.113427616893542	-0.450533530456038	-0.713931097533442	-0.701580043633274	-0.368009086596758	-0.138820772011367	-0.764234026926058	-0.953895492724674	-0.622497416458911	-1.08278454633566	0.193594023046538	-0.337204904814138	-0.392818376282027	-0.40934992827488	-0.48689693919216
NP_001014281.1	-0.413290488113735	-0.11018377272835	-0.596963413457225	-0.239793090744444	-0.731018315006718	NA	NA	NA	NA	-0.58521017301222	-1.05573312306767	-0.764578660461196	-1.10756903613689	NA	NA	NA	NA	NA
NP_001014285.1	-0.284810662592513	-0.123581957771767	-0.309215265352828	0.182567413626619	-0.210156689696468	-0.806040566389462	-0.518786501042975	-0.460377568093132	0.0235891170931019	-0.260739831360167	-1.04833619039075	-0.625396416097421	-0.917444092134596	-0.193869938054714	-0.478459403533509	-0.0696524158589751	-0.778596313320621	-0.458303014402952
NP_001014287.1	0.227677610683774	-0.148970843771053	-0.0925329710939387	-0.00398294029623929	0.00644977422309049	-0.724087952924794	-0.725169489832154	-0.441993213864051	-0.408361018184931	-0.270066330039246	-0.532877968813654	-0.444354707437151	-1.06327813140691	-0.249366813505357	-0.475601203071335	-0.161983622045777	-0.731638568784622	-0.895915835849165
NP_001014291.1	-0.0114572986416475	0.0155044045381232	-0.18382776015305	0.168815640592113	-0.288272807774123	NA	NA	NA	NA	-0.109689239473013	-1.26837575302901	-0.738311519549946	-1.41056821047762	NA	NA	NA	NA	NA
NP_001014295.1	-0.190254377770272	-0.2133424331782	-0.613530910055334	-0.191833034945306	-0.380079291222313	-0.857376099089009	-0.647021240604124	-0.315997974184191	-0.202668025859234	-0.630872571309915	-1.02230545438463	-0.477354557362759	-0.997154313835683	-0.0940728047689391	-0.37309203482852	-0.430888672220173	-0.698574899680204	-0.556175048003259
NP_001014792.1	-0.00950092090226098	-0.0176025604512134	-0.318364331403552	-0.145209119277229	-0.260193233806805	-0.783200681616388	-0.627767199929783	-0.45059241681356	-0.0574542247804785	-0.38020305629687	-1.15852283405459	-0.610005322674734	-1.21291271022181	-0.266384192902117	-0.34385087509837	-0.211016139754809	-0.796997156666192	-0.41788502388475
NP_001014793.1	-0.0977376499187466	-0.0702487402736909	-0.411024103514718	-0.262084555209981	-0.464749430956171	-0.809161582884834	-0.734419380417455	-0.450264324216534	-0.121470720573316	-0.261342479856174	-0.98475574179281	-0.541552892261236	-0.962636694787618	-0.258254511337059	-0.244390641604875	-0.340407229078154	-0.713321495491872	-0.41123992062109
NP_001014810.1	-0.378140088020416	-0.47960120744306	-0.849455419775584	-0.338361547258811	-0.810534403993387	-0.991046740699016	-0.814475370266947	-1.37051875231073	-0.240201275266364	-0.542684453671072	-0.844558992456806	-0.785313567331163	-1.15178993200442	1.03527709424838	-0.312850295107761	-0.66874645565396	-0.0754400615100163	-0.657067140397012
NP_001015003.1	-0.649241294179863	-0.0776914981735923	-0.35408965371536	-0.0776904168692426	-0.451027297009481	-0.726436738835553	-0.618172396017731	-0.388976503288131	-0.132984691739474	-0.437280939692242	-1.24867322711816	-0.579410161870295	-1.14400236250491	-0.339157620836622	-0.459400201957021	-0.231098346531194	-0.870675890517124	-0.538702711459392
NP_001015007.1	-0.64296395961212	-0.0144631879026262	-0.337841613794389	-0.146404387131184	-0.353702478437311	-0.776967884478669	-0.574804452493601	-0.468252329021728	-0.123866220976776	-0.073183247597807	-0.812951483345788	-0.64361664362692	-1.65047938837826	-0.222484682605911	-0.373166412732285	-0.347501248514651	-0.751062140054024	-0.468018404711349
NP_001015008.1	-0.258418760453428	-0.367570884822637	-0.551109979774809	-0.248519026263743	-0.359997863403757	-0.923792736928122	-0.539419986147368	-0.481172381729737	-0.190248559640884	-0.536091722895303	-0.978288339120467	-0.65753054962836	-1.04176045991082	-0.365462081857699	-0.335093909043918	-0.269999691333015	-0.838917247141152	-0.365260435841275
NP_001015018.1	-0.615355828816345	-0.496020105845895	-0.891278315939981	-0.491428757387821	-0.888169334763406	-0.660803581577753	-0.658567375900131	-0.512321702801685	-0.0919591073612984	-0.140614770351464	-1.01589884752935	-0.821052238681365	-1.41935940257224	-0.568946690855496	-0.32972936200791	-0.160791956774651	-0.853362325910079	-0.442729252483675
NP_001015019.1	-0.0538841782321354	-0.0497393833936759	-0.444458844055716	-0.0594965895766231	-0.413629778391724	-0.754444792110731	-0.827536225180041	-0.394920877932987	-0.104626998958861	-0.110127550979232	-0.784235785581782	-0.362294309691649	-0.738574190140588	-0.0700675817625089	-0.26584468822499	-0.224373794429863	-0.750619498361716	-0.546351939767895
NP_001015021.1	-0.182439839636271	-0.144433017293702	-0.455130807181311	-0.107825632086571	-0.0848688841512136	-0.921387686499729	-0.816414051137887	-0.463707810385832	-0.161650474379977	-0.245070131328369	-1.00700971031361	-0.600998125518374	-1.14000281055381	-0.374332973624936	-0.31565552129216	-0.372468707470994	-0.690072715845419	-0.520440023676693
NP_001015029.2	-0.157714201668688	-0.147789917904425	-0.44439104538304	-0.207421834666611	-0.353559643230295	-0.911963532705942	-0.7072113609461	-0.556648484258108	-0.104927203748068	-0.403473301880273	-1.20855411957758	-0.616041323706192	-1.16839505847403	-0.394003267439604	-0.397715002649765	-0.178000246534987	-0.858017747736705	-0.443142364345322
NP_001015030.1	-0.181650558411259	-0.360281512913749	-0.674062070809866	-0.0288501759583483	-0.627919211744147	-0.585926771129605	-0.305002484085633	-0.336809198930118	-0.0196590907341458	-0.864615213965059	-0.948204098272936	-0.624958852099593	-0.88851932329845	0.150896154693388	-0.142967516938116	-0.258113854889435	-0.268344530760041	-0.294408376007684
NP_001015037.1	-0.207414938744343	-0.0267719434335941	-0.3912219164479	-0.0495826556698342	-0.176189339244614	-0.771415276504653	-0.599971994646707	-0.391619200038471	0.0100866683076136	-0.414109431730203	-0.878219342837844	-0.555331515439849	-0.942190453736173	-0.243324784426698	-0.315082176731763	-0.051114334914025	-0.827649794586412	-0.445439248188603
NP_001017374.2	-0.184890921498664	-0.118817403261708	-0.452631039393524	-0.214264333930538	-0.465277855308489	-0.704291900750582	-0.544833343401489	-0.398248745167181	-0.0244877146111705	-0.367338203591527	-1.00770668995062	-0.594537072896176	-1.01985319086526	-0.254031698732073	-0.327395148531731	-0.331607691383125	-0.703542427697559	-0.374545261778316
NP_001017447.1	-0.339160390769126	-0.081338328367049	-0.290885342220271	-0.187880051250427	-0.388568126691276	-0.647873607255542	-0.614005136250944	-0.363476128445446	0.0218858933808785	-0.269927778658683	-1.01083331497367	-0.578520412495952	-0.925331270849691	-0.150854989429964	-0.119289511360538	-0.255939889521716	-0.621948459743483	-0.269482456885196
NP_001017449.1	-0.112095410326914	-0.207568249631923	-0.848259190577165	-0.649833560762516	-0.703880469279281	-0.823122284952322	-0.76952043079965	-0.550833554403077	-0.0553842466531401	-0.235050522678001	-0.838617456835892	-0.623950576307122	-0.975066873001898	-0.300833823514953	-0.421121189133065	-0.59584855759127	-0.67698281080182	-0.918235602391041
NP_001017453.1	0.0854833955621104	0.0253427584788505	-0.167573488367882	0.255379594628765	-0.195204511875215	-0.976817286705254	-0.876410151266947	-0.846219482989008	-0.529744152015564	-0.51253391089843	-1.28137049283893	-0.548000951490937	-0.946372647799399	-0.102298277958951	-0.708874180731953	-0.601806641408748	-0.880627992372408	-0.62797433270591
NP_001017454.1	-0.119069910411406	-0.225301933737229	-0.513339351775639	-0.324748441834825	-0.579585678659368	-0.803712889170879	-0.595477606869902	-0.447630080003654	-0.0538919362649175	-0.159679433946453	-0.895018073563953	-0.667625954753331	-1.01815710960835	-0.152735417750426	-0.277078985480342	-0.371044784996757	-0.759582011234542	-0.513502836335565
NP_001017458.1	-0.0846948386325134	-0.389523518398386	-0.408649807780458	-0.427747216690595	-0.49600519923853	-1.08991419055422	-0.881298980926374	-0.844638450735959	-0.507457429205279	-0.348246995949095	-1.24643372884775	-0.543630684493895	-0.856760778960841	-0.269252328826034	-0.633103839217908	-0.636575341030611	-0.849122634688049	-0.484284951661531
NP_001017461.1	-0.17933782425891	-0.267726254527274	-0.697311452293219	-0.247381222655565	-0.451225959971077	-0.69928635455377	-0.560064189407498	-0.39316102605744	-0.18084197439765	-1.02296595940075	-0.860520901519144	-0.657601042302584	-0.819868125188999	0.150486662997902	-0.310630234840656	-0.0855224502450639	-0.73449330302741	-0.450248784585899
NP_001017467.1	-0.211335956119112	-0.651773557202539	-0.596497290290102	0.221385441764605	-0.227356655997045	-1.00958588944909	-0.593181628992278	-1.28047635163682	-0.526784373987118	0.32080027045283	-0.988380065917642	-0.250035166014867	-1.16758836154575	0.189366819223922	-0.985079032872162	-0.561408551458345	-0.675543889532057	-1.01477751645886
NP_001017474.2	-0.10829016910098	0.0835403926803473	-0.134472792040087	-0.142095289935486	0.0237190940386055	-0.889104120755042	-0.625367732999513	-0.516699425524118	-0.144297274090925	-0.291661106526883	-0.933837961303806	-0.533462536501011	-0.997554917230803	-0.142945909547937	-0.340886917582003	-0.339341996822992	-0.849927683790285	-0.494011108261468
NP_001017486.1	-0.0671903168922029	-0.221606342130055	-0.550081531906571	-0.171864473221731	-0.407730644604167	-0.802930704270026	-0.695171927876831	-0.494276051566901	-0.211935970071018	-0.962109355145494	-0.995467526770782	-0.688817629418325	-0.876532697393151	0.0365616347223943	-0.228431613206691	-0.284988775240228	-0.737928132984305	-0.451331380051596
NP_001017489.1	0.325900683539702	-0.367875621231327	-0.796479292741737	-0.641017089934472	-0.79145405470503	-0.829328781963118	-0.80801356285121	-0.620541360542143	-0.121789285413276	0.545453171723613	0.196271637763124	-0.664484267229784	-1.09850879256687	-0.511004610631653	-0.279314359647255	-0.0107056528275319	-0.673027543558747	-0.452246338607196
NP_001017499.1	-0.278538159203171	-0.169110564733174	-0.482318339255169	-0.250920715659197	-0.497193962990296	-0.798256097136993	-0.692693422164856	-0.415491937389089	-0.129111446327692	-0.414770092280764	-0.98444969629492	-0.490860361946558	-0.943779328082229	-0.298018246573354	-0.34301264585619	-0.310467058133738	-0.779629217887608	-0.413907101746183
NP_001017503.1	-0.224199644797916	-0.131981021486059	-0.454541823550154	-0.346554237053394	-0.548004053158169	-0.845682319455063	-0.521830910333115	-0.37427250417742	-0.176850444069337	-0.168500252492259	-0.915279497712616	-0.619753826496425	-1.01482779607304	-0.443479718036701	-0.342939038260356	-0.379854823792331	-0.693760092472078	-0.36557322825672
NP_001019404.2	-0.217323844493066	-0.115957608474055	-0.451510704634995	-0.300000877471874	-0.460116294944248	-0.802834329435681	-0.666351776440188	-0.445600235965888	-0.0788924895457781	-0.333005200387569	-0.903434435791834	-0.514515729605228	-0.967529250078272	-0.342561233406764	-0.300562849400107	-0.179613493426209	-0.857271795905779	-0.463323027972547
NP_001019406.2	-0.261679390273784	-0.120638349962219	-0.373325368696314	0.0253924822299043	-0.335221892314015	-0.673520429727362	-0.53803436804862	-0.481942848292687	-0.0858941069185513	-0.515141465883312	-1.20768402698345	-0.647363177460026	-1.19885706189724	-0.162692424462155	-0.306360194802773	-0.356633275614361	-0.732189644812483	-0.420255091986314
NP_001019408.1	-0.472716440996064	-0.137666220541353	-0.449742529855882	-0.485047690746641	-0.430811831007428	-0.840238027793048	-0.606969735918406	-0.341695668015584	0.0221628360526454	-0.470106044428615	-0.964100047216344	-0.402347787689716	-0.943926780849694	-0.388667962073771	-0.301992727293174	-0.25328575584438	-0.914772416272199	-0.435689785562042
NP_001019414.1	-0.217008792007402	-0.143127123321328	-0.324562612796795	-0.185105732294564	-0.517047674145709	-0.91775966694075	-0.575770270146155	-0.528623960598806	-0.107515088758237	-0.0582493223305295	-0.965536431020847	-0.695505537584185	-1.04945820572436	-0.424740714063569	-0.545373666221152	-0.392426722380049	-1.0834834083579	-0.529155851936028
NP_001019418.1	-0.201645481518612	-0.117164292862007	-0.328270026210058	-0.211803338151637	-0.406451239886221	-0.863628084605833	-0.667718864954179	-0.475945185457476	-0.165431300228841	-0.234899111740957	-1.03835544835149	-0.630034699935769	-1.14633665229414	-0.251739726083781	-0.395152337008844	-0.372834234395197	-0.77864924917639	-0.588064875587906
NP_001019432.1	-0.102970071992603	-0.115198718891655	-0.434399696660704	-0.194387032570251	-0.445331888428074	-0.815091906243902	-0.497138120768736	-0.457883620073441	-0.135452340573958	-0.420116996633038	-0.934520039317261	-0.548331869696493	-0.907042898371008	-0.125474105002779	-0.305874755782863	-0.181078432571147	-0.794442274647805	-0.525732895028166
NP_001019437.1	-0.066608262113055	-0.0804498930946946	-0.239491192045508	-0.164127747979872	-0.446773676152791	NA	NA	NA	NA	-0.161828202763183	-1.36378710138672	-0.753519727498826	-1.37819582532062	NA	NA	NA	NA	NA
NP_001019442.1	-0.228136219468746	-0.318011152472704	-0.448603173550783	-0.0120505214213621	-0.273134851483721	NA	NA	NA	NA	-0.775367908540692	-0.979431555409132	-0.426183562975982	-0.811072900284391	NA	NA	NA	NA	NA
NP_001019448.1	0.130838976912997	-0.199171411499273	-0.295903647435863	-0.0166495220667967	-0.179801206022245	-0.610400145031118	-0.819181210276246	-0.351237615210118	0.0109791720827845	-0.308375706423483	-0.585068808843364	-0.464968101731453	-0.750637152034265	0.0481772958649335	-0.329519442674243	-0.829550128536088	-0.618360764456963	-0.440522562264617
NP_001019449.1	-0.449903610362067	-0.422904498527818	-0.786510734126395	-0.00361575049443281	-0.878467681318326	-1.32506657412061	-0.678948460087477	-0.997497741260309	-0.347054268917494	0.150943062070186	-1.21275551953246	-0.639339185692237	-1.78895426230802	-0.422717646393584	-0.519162975272821	-0.589824502294926	-0.419871351219256	-0.731987013348682
NP_001019466.1	-0.250663474633407	-0.117335751459812	-0.350641352080087	-0.313275971880009	-0.577845490187526	-0.845260139073863	-0.648911490580994	-0.624029144154518	-0.202042630616402	0.0600776027551656	-0.913343918818454	-0.396749966288218	-1.09669667120367	-0.109873837880082	-0.365684090930119	-0.599118224102309	-0.578288686917414	-0.534821405954958
NP_001019473.1	NA	NA	NA	NA	NA	-0.74003125879413	-0.706265725001265	-0.516911242969565	-0.100474680012215	NA	NA	NA	NA	-0.281752140878618	-0.430783515148324	-0.242215495607544	-0.83452161226085	-0.577990476920543
NP_001019474.1	-0.0933274205317109	-0.318275360697534	-0.416200424048988	-0.254358650690982	-0.447074720342996	-0.882053019475478	-0.20290875277056	-0.333909757690602	-1.17857411142247	-0.438901849205122	-1.30755446767992	-0.568926338224123	-1.23060743655309	-0.598636789879814	-1.49390139681835	-0.217698132606246	-0.851580779208039	-0.646881052290164
NP_001019475.1	-0.521144731103829	-0.0155350145887068	-0.375919569271372	-0.161143554634923	-0.609921967297248	-0.736774468901096	-0.556846350660996	-0.512702101007748	-0.0282935701563812	0.17246375022032	-0.968473102178831	-0.695833586556766	-1.06649351171045	-0.129431338158095	-0.467912876933061	-0.625685178640808	-0.758223180685978	-0.590000104841423
NP_001019477.1	-0.220405263162564	-0.0683656403586848	-0.273154273601153	-0.142390551875411	-0.261142552561313	-0.77930197812249	-0.578509543438217	-0.540107610713845	-0.143993125028412	-0.157813033727502	-0.889341059155059	-0.472198866604359	-0.966864089832965	0.0121307379391145	-0.266928954893538	-0.382356103751446	-0.729370630718728	-0.458443892166033
NP_001019485.1	-0.102877477847066	-0.115054919811605	-0.611711980419735	-0.0157334966221831	-0.402004495096306	-0.862573015057147	-0.768280876301617	-0.508341437868794	-0.205041747508657	-0.425354042222135	-0.956573810071788	-0.365887985415449	-1.01276431783891	-0.36279895442512	-0.264085463580209	-0.460795396083474	-0.705509651167032	-0.561900778214911
NP_001019489.1	-0.280270658037112	-0.181019091477937	-0.487565264602493	-0.234596028417021	-0.501585900701495	-0.792041690257611	-0.689415533262311	-0.436639399762743	-0.180274644208316	-0.330455211196413	-1.1292221924628	-0.528455299852206	-0.937299332021366	0.0706112866901275	-0.457520454089394	-0.378679429391959	-0.578409567072217	-0.527790516228875
NP_001019503.1	0.00831534820634216	-0.27367306936607	-0.618661483100254	-0.145175011284604	-0.362865950036373	-0.880688622957839	-0.619186880416941	-0.472075064917927	-0.146939505770285	-0.771694783497576	-0.829609967796389	-0.696758260356685	-0.954860418345692	-0.0694681490949919	-0.401898181351407	-0.326736302055782	-0.764619552902037	-0.53683607988171
