protein,S1_Ion_126.128,S1_Ion_127.125,S1_Ion_127.131,S1_Ion_128.128,S1_Ion_128.134,S1_Ion_129.131,S1_Ion_129.138,S1_Ion_130.135,S1_Ion_130.141,S1_Ion_131.138,S2_Ion_126.128,S2_Ion_127.125,S2_Ion_127.131,S2_Ion_128.128,S2_Ion_128.134,S2_Ion_129.131,S2_Ion_129.138,S2_Ion_130.135,S2_Ion_130.141,S2_Ion_131.138,S2_Ion_131.144
sp|A2RUC4|TYW5_HUMAN,0.107917093,0.132032801,0.017814578,-0.090171008,-0.015606645,-0.040730248,-0.41706074,-0.055232708,0.202888162,0.158148715,0.061777408,0.059618853,-0.003843171,-0.089554587,-0.030737714,-0.147901781,-0.165199366,0.156589914,0.081880235,0.224969035,-0.147598827
sp|A2RUS2|DEND3_HUMAN,0.096806356,0.173487675,-0.030673619,-0.114071957,-0.021064873,-0.014807574,-0.307281902,-0.137233147,0.127220576,0.227618464,0.064358892,0.089534459,-0.065227629,0.090978085,-0.073368313,-0.279236062,0.000525789,0.090759218,0.010227445,0.14856905,-0.077120933
sp|A3KMH1|VWA8_HUMAN,0.115948487,0.172025935,-0.110440082,-0.127205133,-0.071963918,-0.001801491,-0.246918463,-0.073028417,0.152406852,0.190976232,0.054589472,0.041938116,-0.119293454,-0.019964814,0.013952807,-0.132363775,-0.013721398,0.040988073,0.083935043,0.151726581,-0.101786651
sp|A3KN83|SBNO1_HUMAN,0.097272025,0.136970703,-0.057661148,-0.11492292,0.015203305,-0.093459536,-0.3475068,-0.111721593,0.279237363,0.196588602,0.080593894,0.014491329,-0.121952962,-0.081423543,0.035646245,-0.224633596,0.055081129,0.097873352,0.087734752,0.195886213,-0.139296813
sp|A4D161|F221A_HUMAN,-0.190457002,-0.030876651,-0.137993743,-0.108057241,-0.061004998,0.070608341,-0.170281231,-0.034594247,0.278650663,0.384006109,0.068228429,-0.074475359,-0.101236673,-0.003104727,0.056851754,-0.089473202,0.059533577,0.073413982,0.09310978,0.129017311,-0.211864872
sp|A4D1E9|GTPBA_HUMAN,0.153233862,0.226609781,-0.070678514,-0.115087627,-0.110853667,-0.016155653,-0.306260807,-0.089223698,0.150799621,0.177616702,0.114879968,0.156360638,-0.162260283,-0.066620054,0.068315978,-0.159984738,-0.148078996,0.026862381,0.066977254,0.17358572,-0.070037867
sp|A4D1P6|WDR91_HUMAN,0.105320046,0.142529622,-0.056701387,-0.084711429,0.005004259,-0.033194963,-0.323842307,-0.144506093,0.176850334,0.213251917,0.090009639,0.060707792,-0.153749863,-0.085190571,0.026203865,-0.193859357,-0.060178125,0.110769079,0.144751119,0.233481909,-0.172945488
sp|A4D1S5|RAB19_HUMAN,0.327869681,0.298988055,0.045917211,-0.101145058,0.108013452,-0.134230569,-0.551872571,-0.192477024,0.082832227,0.116104596,0.137570361,0.035948194,0.082722004,-0.250533431,-0.151614272,-0.341940026,-0.035412124,0.21878213,0.218685172,0.177385746,-0.091593753
sp|A4D1U4|DEN11_HUMAN,0.092857402,0.202752824,-0.0285943,-0.065635097,0.056482263,-0.031239274,-0.362266598,-0.113727336,0.135531419,0.113838698,0.063376847,0.146678827,-0.064590103,-0.116756792,-0.075222279,-0.285599926,-0.041357965,0.183570438,0.108399985,0.189869083,-0.108368116
sp|A4D2B0|MBLC1_HUMAN,0.054472744,0.127621197,-0.097087917,-0.018826615,0.031269193,-0.046171878,-0.359209519,-0.066617528,0.164361998,0.210188323,0.184096439,0.03074209,-0.107613629,-0.171899897,-0.013271755,-0.244709049,0.012233603,0.185834865,0.147005784,0.163991364,-0.186409815
